                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95184,                0.59377,                  1.015,                0.80179,                0.66161,                0.72149,                0.48564,                 1.3173,                0.87679,                 1.1612,                0.00769,                0.00769,                0.00769
                     37,                0.94806,                0.59324,                 1.0156,                0.76013,                0.68934,                0.72358,                0.48526,                 1.3074,                0.85546,                 1.1622,               0.007624,               0.007624,               0.007624
                     38,                0.94881,                0.58919,                 1.0128,                0.77203,                0.69617,                0.72653,                0.49075,                 1.3051,                0.83445,                 1.1559,               0.007558,               0.007558,               0.007558
                     39,                0.94011,                0.58227,                 1.0077,                0.77913,                 0.6856,                0.72445,                 0.4933,                 1.2957,                0.85317,                 1.1513,               0.007492,               0.007492,               0.007492
                     40,                0.94111,                0.58571,                 1.0054,                0.79946,                0.67642,                0.72253,                0.49037,                 1.3054,                0.85429,                 1.1587,               0.007426,               0.007426,               0.007426
                     41,                0.92423,                0.57129,                 1.0022,                0.80285,                0.68024,                0.72826,                0.49333,                 1.2963,                0.83682,                 1.1512,                0.00736,                0.00736,                0.00736
                     42,                0.92811,                0.57841,                 1.0036,                0.78589,                0.69379,                 0.7356,                  0.496,                 1.2894,                0.82359,                 1.1523,               0.007294,               0.007294,               0.007294
                     43,                0.92376,                0.56979,                 1.0034,                0.80558,                 0.6911,                0.73454,                0.49762,                 1.2996,                0.82918,                  1.158,               0.007228,               0.007228,               0.007228
                     44,                0.92194,                0.56926,                0.99974,                0.79821,                0.69351,                0.73908,                0.49962,                 1.2913,                0.82002,                 1.1468,               0.007162,               0.007162,               0.007162
                     45,                0.91722,                0.56687,                 0.9999,                0.82132,                0.67155,                0.73276,                0.50041,                 1.2829,                 0.8112,                 1.1443,               0.007096,               0.007096,               0.007096
                     46,                0.91376,                0.56222,                0.99555,                0.80747,                0.69438,                0.73816,                0.50248,                 1.2822,                0.80326,                 1.1428,                0.00703,                0.00703,                0.00703
                     47,                0.90271,                0.55453,                0.99445,                0.79375,                0.69572,                 0.7308,                0.49783,                 1.2882,                0.81567,                 1.1495,               0.006964,               0.006964,               0.006964
                     48,                 0.9061,                0.55411,                0.99172,                0.81756,                0.68994,                0.73616,                0.50445,                 1.2739,                0.80174,                 1.1384,               0.006898,               0.006898,               0.006898
                     49,                0.89636,                0.54933,                0.98892,                0.78407,                0.69806,                0.73248,                0.50238,                 1.2805,                0.80643,                 1.1423,               0.006832,               0.006832,               0.006832
